GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
The Multi Module Maven Release Plugin,de.hilling.maven.release.releaseinfo,ReleaseInfoStorage,22,72,0,2,5,19,0,4,0,3
The Multi Module Maven Release Plugin,de.hilling.maven.release,GitHelper,8,53,2,6,3,11,3,4,1,2
The Multi Module Maven Release Plugin,de.hilling.maven.release,NoChangesAction,5,43,0,0,0,2,1,3,1,3
The Multi Module Maven Release Plugin,de.hilling.maven.release,PomUpdater,24,354,6,22,1,72,6,14,0,6
The Multi Module Maven Release Plugin,de.hilling.maven.release,TreeWalkingDiffDetector,5,161,0,16,0,37,0,12,0,4
The Multi Module Maven Release Plugin,de.hilling.maven.release,SshAgentSessionFactory,101,27,8,0,24,12,9,4,5,4
The Multi Module Maven Release Plugin,de.hilling.maven.release,BaseMojo,77,70,8,2,21,18,11,5,6,5
The Multi Module Maven Release Plugin,de.hilling.maven.release,JacocoLoader,1,14,0,0,1,6,0,2,0,2
The Multi Module Maven Release Plugin,de.hilling.maven.release,FileUtils,7,6,0,0,3,3,1,1,1,1
The Multi Module Maven Release Plugin,de.hilling.maven.release,Guard.GuardException,4,0,0,0,2,0,1,0,1,0
The Multi Module Maven Release Plugin,de.hilling.maven.release,UnresolvedSnapshotDependencyException,0,21,0,0,0,4,0,1,0,1
The Multi Module Maven Release Plugin,de.hilling.maven.release,Guard,31,11,2,2,4,5,3,2,1,2
The Multi Module Maven Release Plugin,de.hilling.maven.release,TreeWalkingDiffDetector.new TreeFilter() {...},2,19,0,2,1,4,1,4,1,3
The Multi Module Maven Release Plugin,de.hilling.maven.release,PomUpdater.UpdateResult,0,23,0,4,0,6,0,4,0,2
The Multi Module Maven Release Plugin,de.hilling.maven.release,ModuleDependencyVerifier,67,462,3,27,11,93,3,23,0,11
The Multi Module Maven Release Plugin,de.hilling.maven.release,PhaseInvoker,62,211,3,7,14,43,6,6,3,4
The Multi Module Maven Release Plugin,de.hilling.maven.release,Reactor,0,176,0,17,0,40,0,15,0,6
The Multi Module Maven Release Plugin,de.hilling.maven.release,ReleaseMojo,37,354,6,24,6,80,5,16,0,6
The Multi Module Maven Release Plugin,de.hilling.maven.release,NextMojo,0,30,0,0,0,4,0,2,0,2
The Multi Module Maven Release Plugin,de.hilling.maven.release,ValidationException,0,45,0,0,0,9,0,4,0,4
The Multi Module Maven Release Plugin,de.hilling.maven.release,Reactor.new Object() {...},2,17,0,0,0,1,0,1,0,1
The Multi Module Maven Release Plugin,de.hilling.maven.release,AnnotatedTag,0,43,0,0,0,11,0,5,0,5
The Multi Module Maven Release Plugin,de.hilling.maven.release,TestBehaviour,5,73,0,0,0,11,1,5,1,5
The Multi Module Maven Release Plugin,de.hilling.maven.release.versioning,GsonFactory,0,32,0,0,0,9,0,4,0,4
The Multi Module Maven Release Plugin,de.hilling.maven.release.versioning,VersionMatcher,64,36,5,1,10,10,4,4,1,4
The Multi Module Maven Release Plugin,de.hilling.maven.release.versioning,VersionNamer,10,123,2,8,2,24,2,9,0,6
The Multi Module Maven Release Plugin,de.hilling.maven.release.versioning,ModuleVersion,0,22,0,0,0,2,0,2,0,2
The Multi Module Maven Release Plugin,de.hilling.maven.release.versioning,FixVersion,0,43,0,0,0,3,0,4,0,4
The Multi Module Maven Release Plugin,de.hilling.maven.release.versioning,SnapshotVersion,10,0,0,0,1,0,1,0,1,0
The Multi Module Maven Release Plugin,de.hilling.maven.release.versioning,QualifiedArtifact,0,16,0,0,0,2,0,2,0,2
The Multi Module Maven Release Plugin,de.hilling.maven.release.versioning,ReleaseInfo,0,64,0,4,0,11,0,7,0,5
The Multi Module Maven Release Plugin,de.hilling.maven.release.versioning,ReleaseDateSingleton,0,36,0,0,0,10,0,5,0,5
The Multi Module Maven Release Plugin,de.hilling.maven.release.repository,LocalGitRepo,76,407,6,30,17,87,5,25,0,12
The Multi Module Maven Release Plugin,de.hilling.maven.release.utils,ErrorUtils,6,83,0,2,3,19,1,3,1,2
